num;question;a;b;c;d;solution
280;Wenn Sie sich in Deutschland gegen einen falschen Steuerbescheid wehren wollen, müssen Sie ...;nichts machen.;den Bescheid wegwerfen.;Einspruch einlegen.;warten, bis ein anderer Bescheid kommt.;c
281;Zwei Freunde wollen in ein öffentliches Schwimmbad in Deutschland. Beide haben eine dunkle Hautfarbe und werden deshalb nicht hineingelassen. Welches Recht wird in dieser Situation verletzt? Das Recht auf ...;Meinungsfreiheit;Gleichbehandlung;Versammlungsfreiheit;Freizügigkeit;b
282;Welches Ehrenamt müssen deutsche Staatsbürger / Staatsbürgerinnen übernehmen, wenn sie dazu aufgefordert werden?;Vereinstrainer / Vereinstrainerin;Bibliotheksaufsicht;Wahlhelfer / Wahlhelferin;Lehrer / Lehrerin;c
283;Was tun Sie, wenn Sie eine falsche Rechnung von einer deutschen Behörde bekommen?;Ich lasse die Rechnung liegen.;Ich lege Widerspruch bei der Behörde ein.;Ich schicke die Rechnung an die Behörde zurück.;Ich gehe mit der Rechnung zum Finanzamt.;b
284;Was man für die Arbeit können muss, ändert sich in der Zukunft sehr schnell. Was kann man tun?;Es ist egal, was man lernt.;Kinder lernen in der Schule alles, was im Beruf wichtig ist. Nach der Schule muss man nicht weiter lernen.;Erwachsene müssen auch nach der Ausbildung immer weiter lernen.;Alle müssen früher aufhören zu arbeiten, weil sich alles ändert.;c
285;Frau Frost arbeitet als fest angestellte Mitarbeiterin in einem Büro. Was muss sie nicht von ihrem Gehalt bezahlen?;Umsatzsteuer;Lohnsteuer;Beiträge zur Arbeitslosenversicherung;Beiträge zur Renten- und Krankenversicherung;a
286;Welche Organisation in einer Firma hilft den Arbeitnehmern und Arbeitnehmerinnen bei Problemen mit dem Arbeitgeber / der Arbeitgeberin?;der Betriebsrat;der Betriebsprüfer / die Betriebsprüferin;die Betriebsgruppe;das Betriebsmanagement;a
287;Sie möchten bei einer Firma in Deutschland Ihr Arbeitsverhältnis beenden. Was müssen Sie beachten?;die Gehaltszahlungen;die Arbeitszeit;die Kündigungsfrist;die Versicherungspflicht;c
288;Bei welchem Amt muss man in Deutschland in der Regel seinen Hund anmelden?;beim Finanzamt;beim Einwohnermeldeamt;bei der Kommune (Stadt oder Gemeinde);beim Gesundheitsamt;c
289;Ein Mann mit dunkler Hautfarbe bewirbt sich um eine Stelle als Kellner in einem Restaurant in Deutschland. Was ist ein Beispiel für Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil ...;seine Deutschkenntnisse zu gering sind.;er zu hohe Gehaltsvorstellungen hat.;er eine dunkle Haut hat.;er keine Erfahrungen im Beruf hat.;c
290;Sie haben in Deutschland einen Fernseher gekauft. Zu Hause packen Sie den Fernseher aus, doch er funktioniert nicht. Der Fernseher ist kaputt. Was können Sie machen?;eine Anzeige schreiben;den Fernseher reklamieren;das Gerät ungefragt austauschen;die Garantie verlängern;b
291;Warum muss man in Deutschland bei der Steuererklärung aufschreiben, ob man zu einer Kirche gehört oder nicht? Weil ...;das für die Statistik in Deutschland wichtig ist.;es eine Kirchensteuer gibt, die an die Einkommen- und Lohnsteuer geknüpft ist.;man mehr Steuern zahlen muss, wenn man nicht zu einer Kirche gehört.;die Kirche für die Steuererklärung verantwortlich ist.;b
292;Die Menschen in Deutschland leben nach dem Grundsatz der religiösen Toleranz. Was bedeutet das?;Es dürfen keine Moscheen gebaut werden.;Alle Menschen glauben an Gott.;Jeder kann glauben, was er möchte.;Der Staat entscheidet, an welchen Gott die Menschen glauben.;c
293;Was ist in Deutschland ein Brauch an Ostern?;Kürbisse vor die Tür stellen;einen Tannenbaum schmücken;Eier bemalen;Raketen in die Luft schießen;c
294;Pfingsten ist ein ...;christlicher Feiertag.;deutscher Gedenktag.;internationaler Trauertag.;bayerischer Brauch.;a
295;Welche Religion hat die europäische und deutsche Kultur geprägt?;der Hinduismus;das Christentum;der Buddhismus;der Islam;b
296;In Deutschland nennt man die letzten vier Wochen vor Weihnachten ...;den Buß- und Bettag.;das Erntedankfest.;die Adventszeit.;Allerheiligen.;c
297;Aus welchem Land sind die meisten Migranten / Migrantinnen nach Deutschland gekommen?;Italien;Polen;Marokko;Türkei;d
298;In der DDR lebten vor allem Migranten aus ...;Vietnam, Polen, Mosambik.;Frankreich, Rumänien, Somalia.;Chile, Ungarn, Simbabwe.;Nordkorea, Mexiko, Ägypten.;a
299;Ausländische Arbeitnehmer und Arbeitnehmerinnen, die in den 50er und 60er Jahren von der Bundesrepublik Deutschland angeworben wurden, nannte man ...;Schwarzarbeiter / Schwarzarbeiterinnen;Gastarbeiter / Gastarbeiterinnen;Zeitarbeiter / Zeitarbeiterinnen;Schichtarbeiter / Schichtarbeiterinnen;b
300;Aus welchem Land kamen die ersten Gastarbeiter / Gastarbeiterinnen nach Deutschland?;Italien;Spanien;Portugal;Türkei;a
BB-1;Welches Wappen gehört zum Bundesland Brandenburg?;1;2;3;4;a
BB-2;Welches ist ein Landkreis in Brandenburg?;Prignitz;Rhein-Sieg-Kreis;Vogtlandkreis;Amberg-Sulzbach;a
BB-3;Für wie viele Jahre wird der Landtag in Brandenburg gewählt?;3;4;5;6;c
BB-4;Ab welchem Alter darf man in Brandenburg bei Kommunalwahlen wählen?;14;18;16;20;c
BB-5;Welche Farben hat die Landesflagge von Brandenburg?;blau-weiß-rot;rot-weiß;grün-weiß-rot;schwarz-gelb;b
BB-6;Wo können Sie sich in Brandenburg über politische Themen informieren?;bei den Kirchen;beim Ordnungsamt der Gemeinde;bei der Landeszentrale für politische Bildung;bei der Verbraucherzentrale;c
BB-7;Die Landeshauptstadt von Brandenburg heißt ...;Potsdam.;Cottbus.;Brandenburg.;Frankfurt/Oder.;a
BB-8;Welches Bundesland ist Brandenburg?;1;2;3;4;d
BB-9;Wie nennt man den Regierungschef / die Regierungschefin in Brandenburg?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Bürgermeister / Bürgermeisterin;Ministerpräsident / Ministerpräsidentin;d
BB-10;Welchen Minister / welche Ministerin hat Brandenburg nicht?;Justizminister / Justizministerin;Außenminister / Außenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b
BE-1;Welches Wappen gehört zum Bundesland Berlin?;1;2;3;4;d
BE-2;Welches ist ein Bezirk von Berlin?;Altona;Prignitz;Pankow;Demmin;c
BE-3;Für wie viele Jahre wird das Landesparlament in Berlin gewählt?;3;4;5;6;c
BE-4;Ab welchem Alter darf man in Berlin bei Kommunalwahlen (Wahl der Bezirksverordnetenversammlung) wählen?;14;16;18;20;b
BE-5;Welche Farben hat die Landesflagge von Berlin?;blau-weiß-rot;weiß-rot;grün-weiß-rot;schwarz-gold;b
BE-6;Wo können Sie sich in Berlin über politische Themen informieren?;beim Ordnungsamt der Gemeinde;bei den Kirchen;bei der Verbraucherzentrale;bei der Landeszentrale für politische Bildung;d
BE-7;Welches Bundesland ist ein Stadtstaat?;Berlin;Saarland;Brandenburg;Hessen;a
BE-8;Welches Bundesland ist Berlin?;1;2;3;4;d
BE-9;Wie nennt man den Regierungschef / die Regierungschefin des Stadtstaates Berlin?;Ministerpräsident / Ministerpräsidentin;Oberbürgermeister / Oberbürgermeisterin;Präsident / Präsidentin des Senats;Regierender Bürgermeister / Regierende Bürgermeisterin;d
BE-10;Welchen Senator / welche Senatorin hat Berlin nicht?;Finanzsenator / Finanzsenatorin;Innensenator / Innensenatorin;Senator / Senatorin für Außenbeziehungen;Justizsenator / Justizsenatorin;c
BW-1;Welches Wappen gehört zum Bundesland Baden-Württemberg?;1;2;3;4;a
BW-2;Welches ist ein Landkreis in Baden-Württemberg?;Demmin;Neckar-Odenwald-Kreis;Nordfriesland;Altötting;b
BW-3;Für wie viele Jahre wird der Landtag in Baden-Württemberg gewählt?;3;4;5;6;c
BW-4;Ab welchem Alter darf man in Baden-Württemberg bei Kommunalwahlen wählen?;14;16;18;20;b
BW-5;Welche Farben hat die Landesflagge von Baden-Württemberg?;blau-weiß-rot;schwarz-gold;weiß-blau;grün-weiß-rot;b
BW-6;Wo können Sie sich in Baden-Württemberg über politische Themen informieren?;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;bei der Landeszentrale für politische Bildung;bei den Kirchen;c
BW-7;Die Landeshauptstadt von Baden-Württemberg heißt ...;Heidelberg.;Stuttgart.;Karlsruhe.;Mannheim.;b
BW-8;Welches Bundesland ist Baden-Württemberg?;1;2;3;4;b
BW-9;Wie nennt man den Regierungschef / die Regierungschefin in Baden-Württemberg?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Bürgermeister / Bürgermeisterin;Ministerpräsident / Ministerpräsidentin;d
BW-10;Welchen Minister / welche Ministerin hat Baden-Württemberg nicht?;Finanzminister / Finanzministerin;Justizminister / Justizministerin;Innenminister / Innenministerin;Außenminister / Außenministerin;d
BY-1;Welches Wappen gehört zum Freistaat Bayern?;1;2;3;4;b
BY-2;Welches ist ein Landkreis in Bayern?;Prignitz;Rhein-Sieg-Kreis;Nordfriesland;Altötting;d
BY-3;Für wie viele Jahre wird der Landtag in Bayern gewählt?;3;4;5;6;c
BY-4;Ab welchem Alter darf man in Bayern bei Kommunalwahlen wählen?;14;16;18;20;c
BY-5;Welche Farben hat die Landesflagge von Bayern?;blau-weiß-rot;weiß-blau;grün-weiß-rot;schwarz-gelb;b
BY-6;Wo können Sie sich in Bayern über politische Themen informieren?;beim Ordnungsamt der Gemeinde;bei der Landeszentrale für politische Bildung;bei der Verbraucherzentrale;bei den Kirchen;b
BY-7;Die Landeshauptstadt von Bayern heißt ...;Ingolstadt.;Regensburg.;Nürnberg.;München.;d
BY-8;Welches Bundesland ist Bayern?;1;2;3;4;d
BY-9;Wie nennt man den Regierungschef / die Regierungschefin in Bayern?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Bürgermeister / Bürgermeisterin;Ministerpräsident / Ministerpräsidentin;d
BY-10;Welchen Minister / welche Ministerin hat Bayern nicht?;Justizminister / Justizministerin;Außenminister / Außenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b
HB-1;Welches Wappen gehört zur Freien Hansestadt Bremen?;1;2;3;4;c
HB-2;Welches ist ein Stadtteil von Bremen?;Altona;Hemelingen;Pankow;Babelsberg;b
HB-3;Für wie viele Jahre wird das Landesparlament in Bremen gewählt?;3;4;5;6;b
HB-4;Ab welchem Alter darf man in Bremen bei den Wahlen zur Bürgerschaft (Landtag) wählen?;14;16;18;20;b
HB-5;Welche Farben hat die Landesflagge von Bremen?;blau-weiß-rot;rot-weiß;grün-weiß-rot;schwarz-gold;b
HB-6;Wo können Sie sich in Bremen über politische Themen informieren?;beim Ordnungsamt der Gemeinde;bei der Landeszentrale für politische Bildung;bei den Kirchen;bei der Verbraucherzentrale;b
HB-7;Was ist ein deutscher Stadtstaat?;Bremen;München;Frankfurt;Erfurt;a
HB-8;Welches Bundesland ist Bremen?;1;2;3;4;a
HB-9;Wie nennt man den Regierungschef / die Regierungschefin des Stadtstaates Bremen?;Ministerpräsident / Ministerpräsidentin;Erster Bürgermeister / Erste Bürgermeisterin;Präsident / Präsidentin des Senats;Regierender Bürgermeister / Regierende Bürgermeisterin;c
HB-10;Welchen Senator / welche Senatorin hat Bremen nicht?;Senator / Senatorin für Außenbeziehungen;Finanzsenator / Finanzsenatorin;Justizsenator / Justizsenatorin;Innensenator / Innensenatorin;a
HE-1;Welches Wappen gehört zum Bundesland Hessen?;1;2;3;4;a
HE-2;Welches ist ein Landkreis in Hessen?;Ammerland;Altötting;Prignitz;Main-Taunus-Kreis;d
HE-3;Für wie viele Jahre wird der Landtag in Hessen gewählt?;3;4;5;6;c
HE-4;Ab welchem Alter darf man in Hessen bei Kommunalwahlen wählen?;14;16;18;20;c
HE-5;Welche Farben hat die Landesflagge von Hessen?;blau-weiß-rot;rot-weiß;schwarz-gold;grün-weiß-rot;b
HE-6;Wo können Sie sich in Hessen über politische Themen informieren?;bei der Landeszentrale für politische Bildung;bei der Verbraucherzentrale;beim Ordnungsamt der Gemeinde;bei den Kirchen;a
HE-7;Die Landeshauptstadt von Hessen heißt ...;Kassel.;Darmstadt.;Frankfurt.;Wiesbaden.;d
HE-8;Welches Bundesland ist Hessen?;1;2;3;4;c
HE-9;Wie nennt man den Regierungschef / die Regierungschefin in Hessen?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Bürgermeister / Bürgermeisterin;Ministerpräsident / Ministerpräsidentin;d
HE-10;Welchen Minister / welche Ministerin hat Hessen nicht?;Justizminister / Justizministerin;Außenminister / Außenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b
HH-1;Welches Wappen gehört zur Freien und Hansestadt Hamburg?;1;2;3;4;b
HH-2;Welches ist ein Bezirk von Hamburg?;Altona;Hemelingen;Pankow;Demmin;a
HH-3;Für wie viele Jahre wird das Landesparlament in Hamburg gewählt?;3;4;5;6;c
HH-4;Ab welchem Alter darf man in Hamburg bei Kommunalwahlen (Wahl der Bezirksversammlungen) wählen?;14;16;18;20;b
HH-5;Welche Farben hat die Landesflagge von Hamburg?;blau-weiß-rot;weiß-rot;grün-weiß-rot;schwarz-gelb;b
HH-6;Wo können Sie sich in Hamburg über politische Themen informieren?;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;bei den Kirchen;bei der Landeszentrale für politische Bildung;d
HH-7;Welches Bundesland ist ein Stadtstaat?;Hamburg;Sachsen;Bayern;Thüringen;a
HH-8;Welches Bundesland ist Hamburg?;1;2;3;4;c
HH-9;Wie nennt man den Regierungschef / die Regierungschefin des Stadtstaates Hamburg?;Ministerpräsident / Ministerpräsidentin;Erster Bürgermeister / Erste Bürgermeisterin;Regierender Senator / Regierende Senatorin;Oberbürgermeister / Oberbürgermeisterin;b
HH-10;Welchen Senator / welche Senatorin hat Hamburg nicht?;Justizsenator / Justizsenatorin;Senator / Senatorin für Außenbeziehungen;Finanzsenator / Finanzsenatorin;Innensenator / Innensenatorin;b
MV-1;Welches Wappen gehört zum Bundesland Mecklenburg-Vorpommern?;1;2;3;4;c
MV-2;Welches ist ein Landkreis in Mecklenburg-Vorpommern?;Prignitz;Demmin;Vogtlandkreis;Rhein-Sieg-Kreis;b
MV-3;Für wie viele Jahre wird der Landtag in Mecklenburg-Vorpommern gewählt?;3;4;5;6;c
MV-4;Ab welchem Alter darf man in Mecklenburg-Vorpommern bei Kommunalwahlen wählen?;14;16;18;20;b
MV-5;Welche Farben hat die Landesflagge von Mecklenburg-Vorpommern?;schwarz-rot-gold;blau-weiß-gelb-rot;grün-weiß-rot;schwarz-gelb;b
MV-6;Wo können Sie sich in Mecklenburg-Vorpommern über politische Themen informieren?;bei der Landeszentrale für politische Bildung;bei den Kirchen;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;a
MV-7;Die Landeshauptstadt von Mecklenburg-Vorpommern heißt ...;Greifswald.;Schwerin.;Rostock.;Wismar.;b
MV-8;Welches Bundesland ist Mecklenburg-Vorpommern?;1;2;3;4;c
MV-9;Wie nennt man den Regierungschef / die Regierungschefin in Mecklenburg-Vorpommern?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Bürgermeister / Bürgermeisterin;Ministerpräsident / Ministerpräsidentin;d
MV-10;Welchen Minister / welche Ministerin hat Mecklenburg-Vorpommern nicht?;Justizminister / Justizministerin;Außenminister / Außenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b
NI-1;Welches Wappen gehört zum Bundesland Niedersachsen?;1;2;3;4;c
NI-2;Welches ist ein Landkreis in Niedersachsen?;Ammerland;Rhein-Sieg-Kreis;Nordfriesland;Vogtlandkreis;a
NI-3;Für wie viele Jahre wird der Landtag in Niedersachsen gewählt?;3;4;5;6;c
NI-4;Ab welchem Alter darf man in Niedersachsen bei Kommunalwahlen wählen?;14;16;18;20;b
NI-5;Welche Farben hat die Landesflagge von Niedersachsen?;rot-weiß;schwarz-rot-gold;schwarz-gelb;blau-weiß-rot;b
NI-6;Wo können Sie sich in Niedersachsen über politische Themen informieren?;beim Koordinator für politische Bildung im Kultusministerium;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;bei den Kirchen;a
NI-7;Die Landeshauptstadt von Niedersachsen heißt ...;Hannover.;Braunschweig.;Wolfsburg.;Osnabrück.;a
NI-8;Welches Bundesland ist Niedersachsen?;1;2;3;4;a
NI-9;Wie nennt man den Regierungschef / die Regierungschefin in Niedersachsen?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Bürgermeister / Bürgermeisterin;Ministerpräsident / Ministerpräsidentin;d
NI-10;Welchen Minister / welche Ministerin hat Niedersachsen nicht?;Justizminister / Justizministerin;Außenminister / Außenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b
NW-1;Welches Wappen gehört zum Bundesland Nordrhein-Westfalen?;1;2;3;4;b
NW-2;Welches ist ein Landkreis in Nordrhein-Westfalen?;Ammerland;Rhein-Sieg-Kreis;Nordfriesland;Vogtlandkreis;b
NW-3;Für wie viele Jahre wird der Landtag in Nordrhein-Westfalen gewählt?;3;4;5;6;c
NW-4;Ab welchem Alter darf man in Nordrhein-Westfalen bei Kommunalwahlen wählen?;14;16;18;20;b
NW-5;Welche Farben hat die Landesflagge von Nordrhein-Westfalen?;rot-weiß;grün-weiß-rot;schwarz-gold;blau-weiß-rot;b
NW-6;Wo können Sie sich in Nordrhein-Westfalen über politische Themen informieren?;bei den Kirchen;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;bei der Landeszentrale für politische Bildung;d
NW-7;Die Landeshauptstadt von Nordrhein-Westfalen heißt ...;Köln.;Bonn.;Düsseldorf.;Dortmund.;c
NW-8;Welches Bundesland ist Nordrhein-Westfalen?;1;2;3;4;c
NW-9;Wie nennt man den Regierungschef / die Regierungschefin in Nordrhein-Westfalen?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Bürgermeister / Bürgermeisterin;Ministerpräsident / Ministerpräsidentin;d
NW-10;Welchen Minister / welche Ministerin hat Nordrhein-Westfalen nicht?;Justizminister / Justizministerin;Außenminister / Außenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b
RP-1;Welches Wappen gehört zum Bundesland Rheinland-Pfalz?;1;2;3;4;a
RP-2;Welches ist ein Landkreis in Rheinland-Pfalz?;Westerwaldkreis;Altötting;Emsland;Prignitz;a
RP-3;Für wie viele Jahre wird der Landtag in Rheinland-Pfalz gewählt?;3;4;5;6;c
RP-4;Ab welchem Alter darf man in Rheinland-Pfalz bei Kommunalwahlen wählen?;14;16;18;20;c
RP-5;Welche Farben hat die Landesflagge von Rheinland-Pfalz?;weiß-rot;schwarz-rot-gold;schwarz-gelb;grün-weiß-rot;b
RP-6;Wo können Sie sich in Rheinland-Pfalz über politische Themen informieren?;bei den Kirchen;bei der Verbraucherzentrale;beim Ordnungsamt der Gemeinde;bei der Landeszentrale für politische Bildung;d
RP-7;Die Landeshauptstadt von Rheinland-Pfalz heißt ...;Mainz.;Kaiserslautern.;Ludwigshafen.;Koblenz.;a
RP-8;Welches Bundesland ist Rheinland-Pfalz?;1;2;3;4;a
RP-9;Wie nennt man den Regierungschef / die Regierungschefin in Rheinland-Pfalz?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Bürgermeister / Bürgermeisterin;Ministerpräsident / Ministerpräsidentin;d
RP-10;Welchen Minister / welche Ministerin hat Rheinland-Pfalz nicht?;Justizminister / Justizministerin;Außenminister / Außenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b
SH-1;Welches Wappen gehört zum Bundesland Schleswig-Holstein?;1;2;3;4;c
SH-2;Welches ist ein Landkreis in Schleswig-Holstein?;Ammerland;Demmin;Nordfriesland;Rhein-Sieg-Kreis;c
SH-3;Für wie viele Jahre wird der Landtag in Schleswig-Holstein gewählt?;3;4;5;6;c
SH-4;Ab welchem Alter darf man in Schleswig-Holstein bei Kommunalwahlen wählen?;14;16;18;20;b
SH-5;Welche Farben hat die Landesflagge von Schleswig-Holstein?;weiß-blau;blau-weiß-rot;weiß-rot;grün-weiß-rot;b
SH-6;Wo können Sie sich in Schleswig-Holstein über politische Themen informieren?;bei der Verbraucherzentrale;beim Ordnungsamt der Gemeinde;bei der Landeszentrale für politische Bildung;bei den Kirchen;c
SH-7;Die Landeshauptstadt von Schleswig-Holstein heißt ...;Husum.;Flensburg.;Lübeck.;Kiel.;d
SH-8;Welches Bundesland ist Schleswig-Holstein?;1;2;3;4;a
SH-9;Wie nennt man den Regierungschef / die Regierungschefin in Schleswig-Holstein?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Bürgermeister / Bürgermeisterin;Ministerpräsident / Ministerpräsidentin;d
SH-10;Welchen Minister / welche Ministerin hat Schleswig-Holstein nicht?;Justizminister / Justizministerin;Außenminister / Außenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b
SL-1;Welches Wappen gehört zum Bundesland Saarland?;1;2;3;4;d
SL-2;Welches ist ein Landkreis im Saarland?;Demmin;Altötting;Neunkirchen;Rhein-Sieg-Kreis;c
SL-3;Für wie viele Jahre wird der Landtag des Saarlandes gewählt?;3;4;5;6;c
SL-4;Ab welchem Alter darf man im Saarland bei Kommunalwahlen wählen?;14;16;18;20;c
SL-5;Welche Farben hat die Landesflagge des Saarlandes?;weiß-blau;schwarz-rot-gold;schwarz-gelb;grün-weiß-rot;b
SL-6;Wo können Sie sich im Saarland über politische Themen informieren?;bei den Kirchen;bei der Landeszentrale für politische Bildung;bei der Verbraucherzentrale;beim Ordnungsamt der Gemeinde;b
SL-7;Die Landeshauptstadt des Saarlandes heißt ...;Neunkirchen.;Homburg.;Saarbrücken.;Völklingen.;c
SL-8;Welches Bundesland ist das Saarland?;1;2;3;4;b
SL-9;Wie nennt man den Regierungschef / die Regierungschefin des Saarlandes?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Bürgermeister / Bürgermeisterin;Ministerpräsident / Ministerpräsidentin;d
SL-10;Welchen Minister / welche Ministerin hat das Saarland nicht?;Justizminister / Justizministerin;Außenminister / Außenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b
SN-1;Welches Wappen gehört zum Freistaat Sachsen?;1;2;3;4;d
SN-2;Welches ist ein Landkreis in Sachsen?;Vogtlandkreis;Altötting;Uckermark;Nordfriesland;a
SN-3;Für wie viele Jahre wird der Landtag in Sachsen gewählt?;3;4;5;6;c
SN-4;Ab welchem Alter darf man in Sachsen bei Kommunalwahlen wählen?;14;16;18;20;c
SN-5;Welche Farben hat die Landesflagge von Sachsen?;blau-weiß-rot;weiß-grün;grün-weiß-rot;schwarz-gelb;b
SN-6;Wo können Sie sich in Sachsen über politische Themen informieren?;bei der Landeszentrale für politische Bildung;beim Ordnungsamt der Gemeinde;bei den Kirchen;bei der Verbraucherzentrale;a
SN-7;Die Landeshauptstadt von Sachsen heißt ...;Leipzig.;Dresden.;Chemnitz.;Zwickau.;b
SN-8;Welches Bundesland ist Sachsen?;1;2;3;4;d
SN-9;Wie nennt man den Regierungschef / die Regierungschefin in Sachsen?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Bürgermeister / Bürgermeisterin;Ministerpräsident / Ministerpräsidentin;d
SN-10;Welchen Minister / welche Ministerin hat Sachsen nicht?;Justizminister / Justizministerin;Außenminister / Außenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b
ST-1;Welches Wappen gehört zum Bundesland Sachsen-Anhalt?;1;2;3;4;d
ST-2;Welches ist ein Landkreis in Sachsen-Anhalt?;Ammerland;Altötting;Uckermark;Börde;d
ST-3;Für wie viele Jahre wird der Landtag in Sachsen-Anhalt gewählt?;3;4;5;6;c
ST-4;Ab welchem Alter darf man in Sachsen-Anhalt bei Kommunalwahlen wählen?;14;16;18;20;b
ST-5;Welche Farben hat die Landesflagge von Sachsen-Anhalt?;blau-weiß-rot;gelb-schwarz;grün-weiß-rot;weiß-rot;b
ST-6;Wo können Sie sich in Sachsen-Anhalt über politische Themen informieren?;bei den Kirchen;bei der Landeszentrale für politische Bildung;beim Ordnungsamt der Gemeinde;bei der Verbraucherzentrale;b
ST-7;Die Landeshauptstadt von Sachsen-Anhalt heißt ...;Halle.;Dessau.;Magdeburg.;Wittenberg.;c
ST-8;Welches Bundesland ist Sachsen-Anhalt?;1;2;3;4;c
ST-9;Wie nennt man den Regierungschef / die Regierungschefin in Sachsen-Anhalt?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Bürgermeister / Bürgermeisterin;Ministerpräsident / Ministerpräsidentin;d
ST-10;Welchen Minister / welche Ministerin hat Sachsen-Anhalt nicht?;Justizminister / Justizministerin;Außenminister / Außenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b
TH-1;Welches Wappen gehört zum Freistaat Thüringen?;1;2;3;4;d
TH-2;Welches ist ein Landkreis in Thüringen?;Ammerland;Altötting;Nordfriesland;Wartburgkreis;d
TH-3;Für wie viele Jahre wird der Landtag in Thüringen gewählt?;3;4;5;6;c
TH-4;Ab welchem Alter darf man in Thüringen bei Kommunalwahlen wählen?;14;18;16;20;c
TH-5;Welche Farben hat die Landesflagge von Thüringen?;blau-weiß-rot;weiß-rot;grün-weiß-rot;schwarz-gold;b
TH-6;Wo können Sie sich in Thüringen über politische Themen informieren?;bei den Kirchen;bei der Verbraucherzentrale;bei der Landeszentrale für politische Bildung;beim Ordnungsamt der Gemeinde;c
TH-7;Die Landeshauptstadt von Thüringen heißt ...;Eisenach.;Erfurt.;Gera.;Jena.;b
TH-8;Welches Bundesland ist Thüringen?;1;2;3;4;b
TH-9;Wie nennt man den Regierungschef / die Regierungschefin in Thüringen?;Erster Minister / Erste Ministerin;Premierminister / Premierministerin;Bürgermeister / Bürgermeisterin;Ministerpräsident / Ministerpräsidentin;d
TH-10;Welchen Minister / welche Ministerin hat Thüringen nicht?;Justizminister / Justizministerin;Außenminister / Außenministerin;Finanzminister / Finanzministerin;Innenminister / Innenministerin;b
